player_name,starting_elo
Joshua Saruga,1907.07
Yuya Hosokawa,1882.88
Dylan Pratt,1785.94
Evan Vetter,1979.35
Rafael Marin,1677.31
Kevin Kong,1790.4
Bassel Nasri,1976.04
Victor Hawkins,2003.83
Pietro Maria Oltolina,1674.43
Yoshitaka Yamasaki,1739.9
Kenneth Oswald,1799.15
Javier Dominguez,2064.08
David Åstrand,1601.7
Pier Paolo Moro,1607.19
Brian Coval,1970.78
William Au,1688.38
Ian Robb,1833.04
Ryan Brozovich,1935.64
Benji Leaf,1761.36
Ben Zoz,1903.93
Allen Norman,1818.98
Jonny Stange,1665.26
Kenith Dsouza,1929.98
Arne Huschenbeth,2229.0
Gregorio Galeotti,1661.71
Maxime Rayvich,1846.88
Alexander Kans,1974.08
Toni Martos,1998.73
John Wager,1935.78
Zevin Faust,2077.98
Jean-Emmanuel Depraz,2118.36
Elijah Herr,1923.53
Nick Osterude,1826.26
Mike Sigrist,1985.93
Phillip Li,2035.41
Charles Eliatamby,1972.42
Guilherme Merjam,1971.86
Paul Green,2128.72
Lucas Duchow,1878.42
Mattia Rizzi,2016.47
Kellen Pastore,2087.21
Terry Edwards,1785.04
Akira Shibata,2066.82
Hiroki Kageyama,1951.3
Se̍k-un Khó͘,1727.87
Justin Schabel,2072.2
Andrew Elenbogen,2061.91
Samuel Chang,2153.45
Pedro Flores,1840.8
Kenta Masukado,2005.76
Carlos Martinez,1654.64
Nathan Steuer,1970.73
Valerie Jade,2035.35
Alan Hubbard,1871.0
Klarke Trezise,1657.74
Avi Lessure,2015.14
Neilson Zhang,1756.15
Tyson Roylance,1701.38
Pedro Molina,1710.34
Abe Schnake,2009.29
Stefan Schütz,2048.34
Jason Reid,1821.69
Eli Swafford,2001.44
Aedan Simons-Rudolph,1785.47
Dylan Nollen,1961.46
Kazutaka Oya,1956.53
Gavin Meagher,1947.04
Yimin Zhi,1940.81
Alex von Stange,1894.22
Sophi Seley,1655.87
Antonin Branis,1885.53
Bernardo Torres,1909.69
Wentong Zhang,1735.93
